Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000145888	GLRA1	5	-	151822513	151924842	0	0	0
ENSG00000270978	RP11-54C4.2	5	+	151848886	151850791	0	0	0
ENSG00000222308	RNA5SP198	5	-	151875566	151875692	0	0	0
ENSG00000254226	CTB-12O2.1	5	+	151949571	152270448	0.003144	0.000424	0.000854
ENSG00000249484	LINC01470	5	-	152618965	153223543	0.001835	0.000248	0.000499
ENSG00000155511	GRIA1	5	+	153489615	153813869	0.008222	0.00111	0.002234
ENSG00000280480	AC025156.1	5	-	153568290	153568412	0	0	0
ENSG00000242976	RN7SL177P	5	+	153755382	153755680	0	0	0
ENSG00000177556	ATOX1	5	-	151742316	151772532	23.268944	31.924734	64.267426
ENSG00000253921	CTB-113P19.3	5	+	151753992	151767247	0.17193	0.02321	0.046724
ENSG00000213433	RPLP1P6	5	-	151765859	151766378	0.703846	0.120336	0.242248
ENSG00000275765	RP11-54C4.3	5	-	151769793	151771508	1.097872	0.225489	0.453931
ENSG00000145907	G3BP1	5	+	151771045	151812785	16.518946	15.060213	30.317593
