Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.122436	0.043052	0.065602
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.121323	0.042660	0.065005
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.224716	0.079016	0.120404
ENSG00000233750	CICP27	1	+	131025	134836	0.048206	0.016951	0.025829
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	2.391291	0.840841	1.281262
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.091125	0.032042	0.048825
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	4.931506	1.814982	2.765646
ENSG00000223972	DDX11L1	1	+	11869	14409	0.068313	0.024021	0.036602
ENSG00000227232	WASH7P	1	-	14404	29570	12.777154	4.492785	6.846046
ENSG00000278267	MIR6859-3	1	-	17369	17436	15.251223	5.362732	8.171661
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.118278	0.041590	0.063374
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.000000	0.000000	0.000000
ENSG00000279928	FO538757.3	1	+	182393	184158	0.026462	0.009305	0.014178
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.113900	0.040050	0.061028
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.307030	0.107960	0.164508
ENSG00000279457	FO538757.2	1	-	184923	200322	12.310663	4.328754	6.596098
ENSG00000273874	MIR6859-2	1	-	187891	187958	4.259803	1.601414	2.440214
ENSG00000228463	AP006222.2	1	-	257864	297502	0.904901	0.318187	0.484849
ENSG00000241670	AP006222.1	1	-	258568	259024	2.143760	0.753804	1.148636
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.865005	0.304159	0.463473
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.000000	0.000000	0.000000
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.262128	0.092171	0.140449
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.080067	0.028154	0.042900
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.218898	0.076970	0.117286
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	0.154572	0.054352	0.082820
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	0.206019	0.072442	0.110386
ENSG00000233653	CICP7	1	+	487101	489906	0.037740	0.013270	0.020221
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	1.950045	0.685687	1.044841
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	3.053161	1.073572	1.635895
ENSG00000235373	RP11-206L10.3	1	-	741813	750016	0.077440	0.027230	0.041493
ENSG00000240618	RP11-206L10.5	1	-	759032	764925	0.771374	0.271235	0.413305
ENSG00000229905	RP11-206L10.4	1	+	760911	761989	0.000000	0.000000	0.000000
ENSG00000228327	RP11-206L10.2	1	-	764857	778626	2.908702	1.022776	1.558493
ENSG00000237491	RP11-206L10.9	1	+	778770	810060	0.882265	1.241318	1.891504
ENSG00000230092	RP11-206L10.8	1	-	800879	817712	1.175459	0.413322	0.629815
ENSG00000177757	FAM87B	1	+	817371	819837	1.309194	0.460347	0.701471
ENSG00000230368	FAM41C	1	-	868071	876903	0.052203	0.018356	0.027971
ENSG00000234711	TUBB8P11	1	+	873292	874349	0.000000	0.000000	0.000000
ENSG00000272438	RP11-54O7.16	1	+	904834	915976	0.618234	0.217387	0.331252
ENSG00000230699	RP11-54O7.1	1	+	911435	914948	0.099901	0.035128	0.053527
ENSG00000241180	RP11-54O7.2	1	+	914171	914971	0.171558	0.060324	0.091921
ENSG00000223764	RP11-54O7.3	1	-	916865	921016	5.453998	1.917770	2.922272
ENSG00000228794	LINC01128	1	+	825138	859446	1.900039	0.668104	1.018048
ENSG00000225880	LINC00115	1	-	826206	827522	14.427486	5.073085	7.730300
ENSG00000187583	PLEKHN1	1	+	966497	975865	0.648782	0.228129	0.347620
ENSG00000187642	PERM1	1	-	975204	982093	0.112442	0.039538	0.060247
ENSG00000187961	KLHL17	1	+	960587	965715	3.977614	1.398634	2.131220
ENSG00000277294	AL645608.1	1	+	965110	965166	7.105263	2.498398	3.807026
ENSG00000187634	SAMD11	1	+	924880	944581	7.872024	2.768011	4.217859
ENSG00000188976	NOC2L	1	-	944204	959309	31.193222	10.968360	16.713442
ENSG00000272512	RP11-54O7.17	1	-	995966	998051	2.017737	0.709490	1.081111
ENSG00000188290	HES4	1	-	998962	1000172	43.769230	15.390416	23.451712
ENSG00000187608	ISG15	1	+	1001138	1014541	16.704967	5.873908	8.950583
ENSG00000231702	RP11-54O7.10	1	-	1008076	1008229	1.162338	0.408709	0.622785
ENSG00000224969	RP11-54O7.11	1	-	1011997	1013193	0.530786	0.186638	0.284397
ENSG00000237330	RNF223	1	-	1070966	1074307	0.079390	0.027916	0.042537
ENSG00000217801	RP11-465B22.3	1	+	1059734	1069355	0.160455	0.056420	0.085972
ENSG00000273443	RP11-54O7.18	1	-	1062208	1063288	0.066345	0.023329	0.035548
ENSG00000188157	AGRN	1	+	1020123	1056118	12.570186	4.420009	6.735152
ENSG00000242590	RP11-54O7.14	1	+	1055033	1056116	33.512436	11.783856	17.956085
ENSG00000198976	MIR429	1	+	1169005	1169087	0.542169	0.190641	0.290496
ENSG00000186891	TNFRSF18	1	-	1203508	1206691	0.441606	0.155280	0.236614
ENSG00000205231	TTLL10-AS1	1	-	1173056	1179555	0.053794	0.018915	0.028823
ENSG00000162571	TTLL10	1	+	1173884	1197935	0.085101	0.029924	0.045597
ENSG00000186827	TNFRSF4	1	-	1211326	1214138	1.779198	0.625613	0.953301
ENSG00000131591	C1orf159	1	-	1081818	1116361	2.719949	0.956406	1.457359
ENSG00000078808	SDF4	1	-	1216908	1232031	61.081314	21.477800	32.727592
ENSG00000176022	B3GALT6	1	+	1232265	1235041	25.732445	9.048206	13.787538
ENSG00000184163	FAM132A	1	-	1242446	1246722	1.776477	0.624656	0.951843
ENSG00000260179	RP5-902P8.12	1	-	1249777	1251334	0.394095	0.138574	0.211158
ENSG00000160087	UBE2J2	1	-	1253909	1273885	22.980263	8.080466	12.312908
ENSG00000230415	RP5-902P8.10	1	+	1275223	1280420	4.269654	1.501323	2.287696
ENSG00000162572	SCNN1D	1	+	1280436	1292029	8.388067	2.949466	4.494357
ENSG00000230021	RP5-857K21.4	1	-	601436	724707	0.267465	0.094048	0.143309
ENSG00000223659	RP5-857K21.5	1	-	627377	629010	0.000000	0.000000	0.000000
ENSG00000225972	MTND1P23	1	+	629062	629433	1460.940186	513.705139	782.777100
ENSG00000225630	MTND2P28	1	+	629640	630683	948.987915	333.689178	508.471191
ENSG00000276171	AC114498.1	1	+	630896	630958	412.674591	145.107285	221.112564
ENSG00000237973	RP5-857K21.6	1	+	631074	632616	713.825256	260.445374	396.863220
ENSG00000278791	MIR6723	1	-	632325	632413	0.000000	0.000000	0.000000
ENSG00000229344	RP5-857K21.7	1	+	632757	633438	17.065248	6.000592	9.143623
ENSG00000240409	MTATP8P1	1	+	633535	633741	143.595810	50.492077	76.939156
ENSG00000248527	MTATP6P1	1	+	633696	634376	2597.961426	913.511780	1391.997192
ENSG00000198744	RP5-857K21.11	1	+	634376	634922	103.299820	36.322937	55.348419
ENSG00000268663	WBP1LP6	1	+	674842	675265	0.000000	0.000000	0.000000
ENSG00000273547	OR4F16	1	-	685716	686654	0.140677	0.049466	0.075375
ENSG00000229376	CICP3	1	+	722092	724903	0.063725	0.022407	0.034144
ENSG00000224051	CPTP	1	+	1324756	1328897	28.979019	10.189788	15.527064
ENSG00000131584	ACAP3	1	-	1292376	1309609	14.343396	5.043517	7.685244
ENSG00000278073	MIR6726	1	-	1296110	1296170	0.032787	0.011529	0.017567
ENSG00000169972	PUSL1	1	+	1308567	1311677	7.062203	2.483257	3.783954
ENSG00000127054	CPSF3L	1	-	1311585	1324691	31.609980	11.114902	16.936743
ENSG00000274153	MIR6727	1	-	1312502	1312566	2.738461	23.115559	35.223183
ENSG00000240731	RP5-890O3.9	1	-	1317581	1318689	23.898964	8.403506	12.805152
ENSG00000169962	TAS1R3	1	+	1331314	1335306	0.930964	0.327351	0.498814
ENSG00000107404	DVL1	1	-	1335276	1349350	95.323578	33.518284	51.074718
ENSG00000275884	MIR6808	1	-	1339650	1339708	0.491525	3.483265	5.307754
ENSG00000175756	AURKAIP1	1	-	1373730	1375495	79.662628	28.011482	42.683529
ENSG00000162576	MXRA8	1	-	1352689	1361777	219.276779	77.103500	117.489304
ENSG00000205116	TMEM88B	1	+	1426128	1427787	6.292683	2.212673	3.371643
ENSG00000235098	ANKRD65	1	-	1418420	1421769	22.944025	8.067724	12.293493
ENSG00000225905	RP4-758J18.7	1	+	1420245	1422691	1.473297	0.518050	0.789398
ENSG00000225285	RP4-758J18.10	1	-	1430539	1434573	10.894242	3.830703	5.837175
ENSG00000221978	CCNL2	1	-	1385711	1399328	101.621147	35.732677	54.448978
ENSG00000224870	RP4-758J18.2	1	+	1399522	1402046	24.708021	9.769514	14.886658
ENSG00000242485	MRPL20	1	-	1401908	1407313	43.420998	15.267967	23.265129
ENSG00000264293	RN7SL657P	1	-	1405460	1405752	6.962457	8.113985	12.363983
ENSG00000272455	RP4-758J18.13	1	+	1409096	1410618	8.435982	4.212818	6.419436
ENSG00000215915	ATAD3C	1	+	1449689	1470158	1.404620	0.493901	0.752601
ENSG00000160072	ATAD3B	1	+	1471769	1497848	9.776203	3.437571	5.238125
ENSG00000205090	TMEM240	1	-	1535174	1540453	7.005797	2.463423	3.753732
ENSG00000197785	ATAD3A	1	+	1512151	1534687	7.862611	2.764701	4.212816
ENSG00000179403	VWA1	1	+	1434861	1442882	268.385162	94.371300	143.801758
ENSG00000215014	RP5-832C2.5	1	+	1574975	1577075	2.662542	0.936387	1.426855
ENSG00000228594	C1orf233	1	-	1598012	1600096	9.471943	3.330754	5.075358
ENSG00000160075	SSU72	1	-	1541673	1574869	32.310036	11.361061	17.311836
ENSG00000272106	RP11-345P4.9	1	-	1613758	1615795	23.408243	8.230956	12.542223
ENSG00000197530	MIB2	1	+	1615415	1630610	16.792618	5.904727	8.997546
ENSG00000008130	NADK	1	-	1751232	1780457	49.903454	17.547371	26.738451
