Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237613	FAM138A	1	-	34554	36081	0.597646	0.155054	0.320203
ENSG00000238009	RP11-34P13.7	1	-	89295	133723	0.334764	0.086851	0.179358
ENSG00000239945	RP11-34P13.8	1	-	89551	91105	0.922844	0.239423	0.494435
ENSG00000233750	CICP27	1	+	131025	134836	0.195134	0.050626	0.104548
ENSG00000268903	RP11-34P13.15	1	-	135141	135895	6.733189	1.746863	3.607464
ENSG00000223972	DDX11L1	1	+	11869	14409	0.159459	0.041370	0.085434
ENSG00000227232	WASH7P	1	-	14404	29570	29.213741	7.579232	15.651948
ENSG00000278267	MIR6859-3	1	-	17369	17436	57.541916	14.928712	30.829433
ENSG00000243485	RP11-34P13.3	1	+	29554	31109	0.065622	0.017025	0.035159
ENSG00000274890	MIR1302-9	1	+	30366	30503	0.081522	0.021150	0.043677
ENSG00000239906	RP11-34P13.14	1	-	139790	140339	0.783411	0.203249	0.419731
ENSG00000269981	RP11-34P13.16	1	-	137682	137965	17.551363	4.553537	9.403554
ENSG00000241860	RP11-34P13.13	1	-	141474	173862	0.669229	0.173625	0.358555
ENSG00000222623	RNU6-1100P	1	-	157784	157887	0.000000	0.000000	0.000000
ENSG00000241599	RP11-34P13.9	1	+	160446	161525	0.000000	0.000000	0.000000
ENSG00000275135	FO538757.1	1	+	200880	201017	0.109903	0.028513	0.058883
ENSG00000236679	RP4-669L17.1	1	-	347982	348366	0.198356	0.051546	0.106448
ENSG00000228463	AP006222.2	1	-	257864	297502	0.340954	0.088457	0.182674
ENSG00000241670	AP006222.1	1	-	258568	259024	1.553999	0.403170	0.832591
ENSG00000279457	FO538757.2	1	-	184923	200322	41.436752	10.750379	22.200712
ENSG00000273874	MIR6859-2	1	-	187891	187958	18.147057	4.708084	9.722712
ENSG00000231709	RP5-857K21.1	1	-	585989	588453	0.231591	0.060084	0.124080
ENSG00000235146	RP5-857K21.2	1	+	587629	594768	0.000000	0.000000	0.000000
ENSG00000239664	RP5-857K21.3	1	-	594453	597498	0.000000	0.000000	0.000000
ENSG00000236743	RP5-857K21.15	1	-	357383	359681	0.041631	0.010801	0.022305
ENSG00000236601	RP4-669L17.2	1	+	358857	365704	0.179528	0.046577	0.096186
ENSG00000237094	RP4-669L17.10	1	-	365389	501617	1.283345	0.332952	0.687582
ENSG00000269732	WBP1LP7	1	+	439870	440232	0.000000	0.000000	0.000000
ENSG00000278566	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
ENSG00000224813	RP4-669L17.4	1	-	485032	485211	0.279577	0.072534	0.149790
ENSG00000233653	CICP7	1	+	487101	489906	0.121694	0.031572	0.065200
ENSG00000250575	RP4-669L17.8	1	-	491225	493241	12.540400	3.253489	6.718814
ENSG00000224956	RP11-206L10.1	1	-	726231	728147	10.377352	2.692307	5.559910
